campaign_id,date,campaign_name,channel,city,audience_segment,objective,spend_aud,impressions,clicks,leads,conversions,revenue_aud,customer_rating
CMP-0178,2025-03-10,Festival Push - Meta Ads,Meta Ads,Brisbane,Families,Retargeting,1160.96,21376,588,121,8,1624.03,3.85
CMP-0120,2025-03-11,Student Offer - Google Search,Google Search,Mumbai,Students,Lead Generation,1381.93,21408,1379,308,39,5224.08,4.49
CMP-0182,2025-03-12,Early Bird - Meta Ads,Meta Ads,Melbourne,Young Professionals,Lead Generation,970.54,19619,324,47,5,1084.07,3.8
CMP-0255,2025-03-12,Weekend Boost - Google Search,Google Search,Mumbai,Premium Experience Seekers,Sponsorship,1080.25,29762,1547,157,57,28313.93,4.75
CMP-0468,2025-03-12,VIP Upgrade - Email,Email,Melbourne,Corporate Buyers,Ticket Sales,471.21,11502,856,177,47,11785.21,4.6
CMP-0207,2025-03-13,Last Mile Sales - Retargeting,Retargeting,Bangalore,Premium Experience Seekers,Ticket Sales,1162.07,30121,2569,427,111,37920.18,3.81
CMP-0407,2025-03-13,Weekend Boost - Google Search,Google Search,Melbourne,Young Professionals,Lead Generation,884.63,16022,742,173,15,4738.2,4.19
CMP-0130,2025-03-14,Early Bird - Google Search,Google Search,Mumbai,Young Professionals,Awareness,1407.49,31321,1662,318,35,7611.74,4.51
CMP-0427,2025-03-14,Festival Push - Meta Ads,Meta Ads,Sydney,Music Enthusiasts,Lead Generation,1003.74,16463,417,106,6,951.21,4.26
CMP-0490,2025-03-14,VIP Upgrade - Retargeting,Retargeting,Bangalore,Families,Awareness,773.37,20114,1156,185,38,6140.59,4.47
CMP-0001,2025-03-15,Student Offer - Sponsorship,Sponsorship,Sydney,Corporate Buyers,Ticket Sales,921.32,18897,320,57,5,3678.27,4.47
CMP-0339,2025-03-15,Summer Launch - Retargeting,Retargeting,Bangalore,Students,Ticket Sales,759.47,20245,1518,303,84,10931.91,4.03
CMP-0164,2025-03-16,Last Mile Sales - Retargeting,Retargeting,Brisbane,Families,Awareness,573.03,10048,560,79,7,1498.87,4.83
CMP-0321,2025-03-16,Summer Launch - Retargeting,Retargeting,Brisbane,Students,Ticket Sales,682.83,14755,966,184,37,4055.06,4.2
CMP-0417,2025-03-16,Early Bird - Influencer,Influencer,Melbourne,Families,Lead Generation,813.27,17909,412,99,3,587.98,4.5
CMP-0147,2025-03-17,Early Bird - Retargeting,Retargeting,Mumbai,Music Enthusiasts,Sponsorship,868.22,18630,1149,195,38,6997.88,4.01
CMP-0479,2025-03-17,Corporate Outreach - Meta Ads,Meta Ads,Bangalore,Music Enthusiasts,Retargeting,1136.42,14291,474,95,12,2891.4,4.14
CMP-0261,2025-03-18,VIP Upgrade - Retargeting,Retargeting,Delhi,Corporate Buyers,Sponsorship,530.68,10348,654,170,31,11410.62,4.13
CMP-0214,2025-03-19,Corporate Outreach - Retargeting,Retargeting,Brisbane,Music Enthusiasts,Ticket Sales,836.0,25426,1683,275,81,22732.83,4.01
CMP-0385,2025-03-19,Weekend Boost - Meta Ads,Meta Ads,Brisbane,Premium Experience Seekers,Retargeting,1418.22,29399,976,138,11,2151.04,4.29
CMP-0299,2025-03-21,Corporate Outreach - Sponsorship,Sponsorship,Brisbane,Families,Sponsorship,2128.48,46770,835,86,7,2980.51,4.07
CMP-0002,2025-03-24,VIP Upgrade - Influencer,Influencer,Delhi,Students,Ticket Sales,838.47,13553,486,86,5,732.02,4.63
CMP-0004,2025-03-24,Early Bird - Google Search,Google Search,Melbourne,Students,Ticket Sales,1477.71,33947,1937,303,68,14011.89,4.28
CMP-0228,2025-03-24,Student Offer - Meta Ads,Meta Ads,Brisbane,Families,Awareness,1367.27,26864,752,166,5,650.66,4.13
CMP-0406,2025-03-24,Summer Launch - Google Search,Google Search,Bangalore,Young Professionals,Lead Generation,1385.99,24727,1467,228,28,4540.26,3.65
CMP-0260,2025-03-25,VIP Upgrade - Sponsorship,Sponsorship,Melbourne,Corporate Buyers,Lead Generation,2022.42,34934,858,153,17,10355.92,4.19
CMP-0387,2025-03-25,Summer Launch - Email,Email,Mumbai,Premium Experience Seekers,Awareness,386.88,6573,586,87,18,4779.45,4.33
CMP-0424,2025-03-25,Weekend Boost - Sponsorship,Sponsorship,Bangalore,Young Professionals,Ticket Sales,915.84,11183,161,24,2,833.12,3.49
CMP-0437,2025-03-26,Student Offer - Influencer,Influencer,Bangalore,Families,Retargeting,884.82,18389,394,97,3,619.33,4.34
CMP-0493,2025-03-26,Last Mile Sales - Google Search,Google Search,Mumbai,Corporate Buyers,Retargeting,1212.48,23751,1242,244,65,22230.35,4.43
CMP-0275,2025-03-27,VIP Upgrade - Influencer,Influencer,Mumbai,Premium Experience Seekers,Awareness,647.96,10043,382,83,3,1282.75,4.13
CMP-0022,2025-03-28,Early Bird - Retargeting,Retargeting,Sydney,Music Enthusiasts,Lead Generation,471.17,12885,1393,193,48,12272.1,4.81
CMP-0141,2025-03-28,Festival Push - LinkedIn Ads,LinkedIn Ads,Melbourne,Young Professionals,Ticket Sales,885.93,16947,220,41,3,1155.47,4.23
CMP-0379,2025-03-29,Festival Push - Email,Email,Sydney,Families,Ticket Sales,255.86,5219,350,64,11,1563.85,4.57
CMP-0166,2025-03-31,Corporate Outreach - Google Search,Google Search,Brisbane,Music Enthusiasts,Ticket Sales,1156.76,20444,766,150,17,3687.99,4.01
CMP-0250,2025-03-31,Student Offer - Influencer,Influencer,Sydney,Families,Awareness,1051.21,22047,582,136,4,776.98,4.08
CMP-0218,2025-04-02,Student Offer - Email,Email,Sydney,Music Enthusiasts,Lead Generation,340.59,6808,718,111,28,4731.14,4.58
CMP-0513,2025-04-02,Weekend Boost - Google Search,Google Search,Bangalore,Premium Experience Seekers,Ticket Sales,1506.45,35926,2354,470,81,34435.97,4.58
CMP-0030,2025-04-03,Summer Launch - Sponsorship,Sponsorship,Delhi,Students,Retargeting,956.08,16554,314,69,6,1122.36,4.31
CMP-0345,2025-04-03,Last Mile Sales - Google Search,Google Search,Sydney,Corporate Buyers,Sponsorship,1388.77,28934,1829,359,66,28725.0,4.24
CMP-0254,2025-04-04,Summer Launch - Retargeting,Retargeting,Melbourne,Music Enthusiasts,Ticket Sales,515.72,11982,764,99,50,10485.06,4.06
CMP-0439,2025-04-05,Early Bird - Email,Email,Bangalore,Families,Ticket Sales,358.39,7504,492,60,26,3360.51,4.31
CMP-0463,2025-04-05,Summer Launch - Meta Ads,Meta Ads,Bangalore,Students,Ticket Sales,1013.84,18367,456,113,5,822.39,3.85
CMP-0189,2025-04-06,Last Mile Sales - Google Search,Google Search,Mumbai,Young Professionals,Awareness,966.69,21953,988,159,13,4424.46,4.42
CMP-0457,2025-04-06,Early Bird - Retargeting,Retargeting,Sydney,Students,Sponsorship,489.5,9018,486,93,32,4728.99,4.05
CMP-0080,2025-04-07,VIP Upgrade - Google Search,Google Search,Mumbai,Music Enthusiasts,Awareness,873.31,14840,826,164,12,4151.24,4.61
CMP-0519,2025-04-07,Student Offer - LinkedIn Ads,LinkedIn Ads,Brisbane,Students,Lead Generation,975.09,18902,289,55,2,608.29,4.36
CMP-0264,2025-04-08,Student Offer - Meta Ads,Meta Ads,Bangalore,Music Enthusiasts,Ticket Sales,1182.95,34825,880,145,18,4701.78,4.0
CMP-0477,2025-04-08,Early Bird - Google Search,Google Search,Mumbai,Young Professionals,Awareness,869.71,20938,904,141,13,3382.14,4.31
CMP-0032,2025-04-09,Corporate Outreach - Meta Ads,Meta Ads,Mumbai,Premium Experience Seekers,Sponsorship,743.1,14423,378,73,9,1813.71,4.16
CMP-0328,2025-04-09,Early Bird - Google Search,Google Search,Bangalore,Corporate Buyers,Ticket Sales,694.38,11783,424,85,25,7545.41,3.62
CMP-0322,2025-04-12,Early Bird - LinkedIn Ads,LinkedIn Ads,Sydney,Young Professionals,Lead Generation,963.88,21464,195,25,3,897.68,4.41
CMP-0330,2025-04-12,Weekend Boost - Meta Ads,Meta Ads,Sydney,Music Enthusiasts,Ticket Sales,1141.98,22542,736,156,15,3875.87,4.46
CMP-0276,2025-04-13,Student Offer - Influencer,Influencer,Sydney,Students,Awareness,675.35,14512,517,90,5,906.3,4.29
CMP-0119,2025-04-14,Student Offer - Google Search,Google Search,Mumbai,Music Enthusiasts,Awareness,1919.53,41970,2034,330,32,8586.28,4.07
CMP-0390,2025-04-14,VIP Upgrade - Retargeting,Retargeting,Melbourne,Students,Ticket Sales,474.8,10301,733,167,38,5307.61,4.11
CMP-0021,2025-04-16,Summer Launch - LinkedIn Ads,LinkedIn Ads,Delhi,Premium Experience Seekers,Awareness,686.14,7829,106,15,0,0.0,4.17
CMP-0258,2025-04-17,Early Bird - Google Search,Google Search,Melbourne,Students,Sponsorship,1203.76,25169,1685,328,73,18438.3,3.79
CMP-0323,2025-04-17,Early Bird - Sponsorship,Sponsorship,Brisbane,Young Professionals,Ticket Sales,1267.99,20033,377,51,6,4703.19,4.67
CMP-0481,2025-04-18,Weekend Boost - Email,Email,Melbourne,Corporate Buyers,Ticket Sales,399.45,6414,661,106,30,9228.0,4.48
CMP-0136,2025-04-19,Weekend Boost - Retargeting,Retargeting,Sydney,Premium Experience Seekers,Ticket Sales,755.3,10371,640,102,29,5886.53,3.98
CMP-0192,2025-04-19,VIP Upgrade - Meta Ads,Meta Ads,Sydney,Families,Ticket Sales,724.51,11594,315,58,3,479.69,4.2
CMP-0121,2025-04-20,Festival Push - Sponsorship,Sponsorship,Mumbai,Families,Sponsorship,1521.97,32212,733,163,4,1540.35,4.14
CMP-0235,2025-04-21,Weekend Boost - Email,Email,Bangalore,Students,Awareness,430.46,8227,892,139,15,2219.35,3.59
CMP-0499,2025-04-21,VIP Upgrade - Google Search,Google Search,Sydney,Young Professionals,Ticket Sales,643.13,16805,1089,218,27,9991.01,4.08
CMP-0059,2025-04-22,Early Bird - Retargeting,Retargeting,Melbourne,Families,Retargeting,191.67,4435,330,51,12,2621.11,4.32
CMP-0089,2025-04-22,Corporate Outreach - Google Search,Google Search,Bangalore,Students,Ticket Sales,817.82,21074,997,121,25,3894.3,4.22
CMP-0173,2025-04-22,Summer Launch - Email,Email,Sydney,Corporate Buyers,Ticket Sales,388.98,4833,462,108,22,5352.66,4.0
CMP-0327,2025-04-24,Summer Launch - Google Search,Google Search,Brisbane,Young Professionals,Ticket Sales,1336.45,22795,1334,372,30,8061.98,4.04
CMP-0044,2025-04-25,Corporate Outreach - Meta Ads,Meta Ads,Sydney,Families,Awareness,477.46,8908,154,19,2,398.58,3.95
CMP-0247,2025-04-25,Festival Push - Email,Email,Melbourne,Students,Awareness,387.46,9055,602,114,18,1997.01,4.2
CMP-0346,2025-04-25,Corporate Outreach - Email,Email,Melbourne,Premium Experience Seekers,Ticket Sales,430.84,8529,969,107,43,10591.24,3.95
CMP-0511,2025-04-25,Summer Launch - Influencer,Influencer,Brisbane,Students,Ticket Sales,791.12,15175,310,61,4,1071.94,4.06
CMP-0295,2025-04-26,Summer Launch - Meta Ads,Meta Ads,Sydney,Corporate Buyers,Ticket Sales,725.27,15914,330,59,5,1322.15,4.24
CMP-0357,2025-04-26,Early Bird - Google Search,Google Search,Brisbane,Families,Retargeting,1217.1,13557,677,118,17,4916.16,3.77
CMP-0432,2025-04-26,Festival Push - Sponsorship,Sponsorship,Melbourne,Premium Experience Seekers,Awareness,1525.98,22492,301,66,4,2798.41,4.72
CMP-0053,2025-04-29,Last Mile Sales - Sponsorship,Sponsorship,Brisbane,Premium Experience Seekers,Ticket Sales,1659.26,29351,649,102,8,5847.7,4.47
CMP-0478,2025-04-29,Student Offer - Google Search,Google Search,Brisbane,Young Professionals,Retargeting,1231.46,30351,1377,170,36,12241.44,4.26
CMP-0158,2025-04-30,Festival Push - Retargeting,Retargeting,Melbourne,Students,Ticket Sales,622.04,11421,824,92,48,8067.8,4.21
CMP-0308,2025-04-30,Summer Launch - Sponsorship,Sponsorship,Sydney,Music Enthusiasts,Sponsorship,1657.35,23906,381,82,9,4480.71,4.36
CMP-0456,2025-04-30,Student Offer - Google Search,Google Search,Mumbai,Young Professionals,Ticket Sales,1577.94,32008,1313,208,38,10613.0,4.03
